model,epsilon,rank,radius,predicted_gain,observed_gain,relative_vector_error
resnet18,0.05,1,0.0,1.0,1.0,0.0005052436438463737
resnet18,0.05,1,0.25,1.1401388695329713,1.1400028716372699,0.00038569093726623186
resnet18,0.05,1,0.5,1.31557610195723,1.3151371922590502,0.00017087728010371146
resnet18,0.05,1,1.0,1.807775304344598,1.805434507631234,0.0007919888002502971
resnet18,0.05,8,0.0,1.0,1.0,1.152167265370751e-07
resnet18,0.05,8,0.25,1.1257797911942329,1.1257792028780096,4.2652683747714256e-07
resnet18,0.05,8,0.5,1.251069283954143,1.2510678877197507,1.04183825955548e-06
resnet18,0.05,8,1.0,1.4881636202411122,1.488160340494528,2.1705822205785035e-06
resnet18,0.05,32,0.0,1.0,1.0,6.981059493790683e-10
resnet18,0.05,32,0.25,1.1247891735957387,1.1247891280357116,4.126623132531601e-08
resnet18,0.05,32,0.5,1.246794142436106,1.2467940357463452,8.766599399565574e-08
resnet18,0.05,32,1.0,1.4699892878467973,1.4699890464272012,1.6858056256411136e-07
resnet18,0.1,1,0.0,1.0,1.0,0.002026036864892587
resnet18,0.1,1,0.25,1.1401388695329713,1.1395949889594146,0.001547202961159454
resnet18,0.1,1,0.5,1.31557610195723,1.313825197421066,0.0006901738763234196
resnet18,0.1,1,1.0,1.807775304344598,1.7985261506393477,0.003107372628225624
resnet18,0.1,8,0.0,1.0,1.0,4.4973346154453784e-07
resnet18,0.1,8,0.25,1.1257797911942329,1.1257774372424725,1.7178028263140813e-06
resnet18,0.1,8,0.5,1.251069283954143,1.2510636960419257,4.180745569544125e-06
resnet18,0.1,8,1.0,1.4881636202411122,1.488150489824442,8.700804877386325e-06
resnet18,0.1,32,0.0,1.0,1.0,8.115298732547432e-09
resnet18,0.1,32,0.25,1.1247891735957387,1.1247889923610872,1.5795586327388905e-07
resnet18,0.1,32,0.5,1.246794142436106,1.2467937201333534,3.40956899804361e-07
resnet18,0.1,32,1.0,1.4699892878467973,1.4699883429139857,6.543795423851997e-07
resnet18,0.2,1,0.0,1.0,1.0,0.008186296803616584
resnet18,0.2,1,0.25,1.1401388695329713,1.1379649505989216,0.006260703023437218
resnet18,0.2,1,0.5,1.31557610195723,1.3086457563755214,0.002866608011897156
resnet18,0.2,1,1.0,1.807775304344598,1.772451016081112,0.011538090096504746
resnet18,0.2,8,0.0,1.0,1.0,1.7877627139813758e-06
resnet18,0.2,8,0.25,1.1257797911942329,1.1257703753567008,6.8823290655141185e-06
resnet18,0.2,8,0.5,1.251069283954143,1.2510469314358013,1.6734596084472664e-05
