n,tau,delta,probe,true_ratio,true_ratio_ci_low,true_ratio_ci_high,conditional_ratio,control_variate_ratio,limiting_ratio
128,0.02,0.5,0,1.67560127377377,1.6692596282731107,1.6821440204445433,1.7183792412940468,1.6841059152573057,1.7196498637287903
128,0.02,0.5,1,1.6502013029493612,1.6435542000566075,1.6574972261724639,1.692571802057041,1.6532638203268533,1.6932259679493684
128,0.02,0.5,2,1.6449379048121833,1.6370547482617683,1.6516216812403877,1.6898245024927974,1.6491123890709345,1.6907094142084218
128,0.02,1.0,0,2.954219730319673,2.9235170277507074,2.987009660516819,3.174139696107569,2.9975982440074134,3.1831739393646195
128,0.02,1.0,1,2.778956204714595,2.7456776223568333,2.8160146270981525,2.9869871159242205,2.7987706395014356,2.9909706823941526
128,0.02,1.0,2,2.7512292391126816,2.716053169925569,2.7833716720707016,2.96609584001839,2.7754518810762443,2.9715968877188152
128,0.08,0.5,0,1.6495216916930693,1.647451867635911,1.6517502981453602,1.663830492716818,1.6523604368306843,1.6646346438957234
128,0.08,0.5,1,1.6223217021213083,1.6175390019014453,1.6272894237596327,1.6369857886352874,1.625872078894929,1.6368016617570424
128,0.08,0.5,2,1.6141186631321318,1.610564751527915,1.6175778494648168,1.6290726881132458,1.6181012639881323,1.6290846758106035
128,0.08,1.0,0,2.727221651821215,2.716899405426234,2.7386463500858147,2.78729020786552,2.7390325383856875,2.792255369116296
128,0.08,1.0,1,2.557484344071646,2.530142525197397,2.586283268775428,2.62171352324579,2.577756414181131,2.6204662714317593
128,0.08,1.0,2,2.508306483785622,2.4871889910516978,2.5293208250360038,2.571792965341526,2.5302387906295927,2.57176911521382
256,0.02,0.5,0,1.691579507815156,1.685037735298386,1.698305674176075,1.719073703094334,1.6824447218096,1.7196498637287903
256,0.02,0.5,1,1.6662051370921234,1.660782029110374,1.6734626680119928,1.6927548461638053,1.6523191709235299,1.6932259679493684
256,0.02,0.5,2,1.6656458077199703,1.6605812725151425,1.6709486357126087,1.6900931034397477,1.660950146931547,1.6907094142084218
256,0.02,1.0,0,3.0307303810830537,2.9967416565442564,3.066932155324648,3.1792186797128905,2.9776294159556995,3.1831739393646195
256,0.02,1.0,1,2.8552613595314975,2.826645343863469,2.893825268936332,2.988124727223404,2.781805821864743,2.9909706823941526
256,0.02,1.0,2,2.8441347824180387,2.8169336352941676,2.8731028030239862,2.967646527827117,2.8187505099261987,2.9715968877188152
256,0.08,0.5,0,1.653550991925765,1.6504079696229608,1.6567394309474601,1.6645297186631514,1.6496038114488878,1.6646346438957234
256,0.08,0.5,1,1.6272184956031859,1.6231237260894094,1.632237453583693,1.6371037787160971,1.621991004819437,1.6368016617570424
256,0.08,0.5,2,1.6218504760614594,1.6184602477213508,1.6257434925121579,1.6289767290968176,1.6186863223293964,1.6290846758106035
256,0.08,1.0,0,2.7446590144545797,2.73115015636998,2.7593423295964197,2.791748713780386,2.7262084417335584,2.792255369116296
256,0.08,1.0,1,2.5820962646732264,2.5583070638656795,2.61054208453432,2.6225045246236123,2.5603854137949327,2.6204662714317593
256,0.08,1.0,2,2.5456616781701773,2.5247731601147367,2.5688438421890116,2.5712229857041273,2.529620724404067,2.57176911521382
512,0.02,0.5,0,1.708223789291697,1.7056832987058304,1.7108917686711438,1.7193464268326502,1.705468282429965,1.7196498637287903
512,0.02,0.5,1,1.6829779209991544,1.6786943225617574,1.687742733491669,1.6931817452746218,1.6809291536108255,1.6932259679493684
512,0.02,0.5,2,1.6799451677194983,1.6773500216929655,1.6830703547227372,1.6904646668978947,1.6774465608463252,1.6907094142084218
512,0.02,1.0,0,3.11754886258414,3.1014860855783026,3.134953781027039,3.1810447100473946,3.1000902698019677,3.1831739393646195
512,0.02,1.0,1,2.9386956103300377,2.910106832889239,2.9694897914164344,2.9908905930926717,2.926568388382426,2.9909706823941526
512,0.02,1.0,2,2.9169495560718466,2.900203845753393,2.936497646248671,2.9701228537950337,2.900619740480522,2.9715968877188152
512,0.08,0.5,0,1.6603405753617089,1.6589434509739025,1.662057299786932,1.6645146073417223,1.6590403597288368,1.6646346438957234
512,0.08,0.5,1,1.6337495614832431,1.6285541616750263,1.639219369450897,1.6370539317519832,1.6330548791298425,1.6368016617570424
512,0.08,0.5,2,1.6273697581367725,1.6240986675683948,1.630262109990029,1.6293137664636508,1.6247497246024822,1.6290846758106035
512,0.08,1.0,0,2.773863712046543,2.765666542129943,2.7835137119775313,2.7915602469519465,2.767050904421108,2.792255369116296
512,0.08,1.0,1,2.6089256907690888,2.5768971810508536,2.6423881934153712,2.62203866586812,2.6053915777231933,2.6204662714317593
512,0.08,1.0,2,2.5696084353125475,2.5483856170257484,2.5878129235640612,2.573302343355834,2.5543704492043666,2.57176911521382
1024,0.02,0.5,0,1.7150109851375226,1.7130129780866177,1.7168322366058046,1.7195396875308915,1.7137458532119139,1.7196498637287903
1024,0.02,0.5,1,1.6870691373752928,1.6825189369848321,1.6924839639224523,1.6931362177829592,1.6868624822798959,1.6932259679493684
1024,0.02,0.5,2,1.6853804663271068,1.6822692704667748,1.688233143612044,1.6904840324854393,1.6841419705858027,1.6907094142084218
1024,0.02,1.0,0,3.1582147211402836,3.1447515135096666,3.1709488827247116,3.1824325081730067,3.1490129656029353,3.1831739393646195
1024,0.02,1.0,1,2.961403274823702,2.9320179169011245,2.9975553108208435,2.990446495896553,2.958112295130328,2.9909706823941526
1024,0.02,1.0,2,2.94392297321164,2.9235543061628553,2.9624799129040387,2.9700952656735167,2.9374925063303907,2.9715968877188152
1024,0.08,0.5,0,1.66299940471046,1.661943451198957,1.6640533016504415,1.6646320727454251,1.6625200703978138,1.6646346438957234
1024,0.08,0.5,1,1.6363696701405788,1.63110973814516,1.6426280266164357,1.6368665562047697,1.6349536416429544,1.6368016617570424
1024,0.08,0.5,2,1.6268469926892817,1.6231228897898093,1.6302562115867887,1.6289762631719886,1.6272451381757955,1.6290846758106035
1024,0.08,1.0,0,2.7859238568706406,2.7794792058405444,2.7925830791039647,2.792273555252028,2.7829218938193008,2.792255369116296
1024,0.08,1.0,1,2.6221628495131597,2.590199547606597,2.6604828492841515,2.6208935827095092,2.613102217355525,2.6204662714317593
1024,0.08,1.0,2,2.5608817112623203,2.538111276913007,2.5821194735759905,2.571150701689296,2.5642477044795244,2.57176911521382
2048,0.02,0.5,0,1.714852668002167,1.712672658666631,1.7168826839955442,1.719576323345782,1.7158283596468737,1.7196498637287903
2048,0.02,0.5,1,1.6903802729689863,1.6858319405356132,1.6948557912678097,1.6931698023906296,1.690343444241691,1.6932259679493684
2048,0.02,0.5,2,1.6895195431098657,1.6866860110076731,1.6926570131725798,1.6906208692480211,1.6876604153492345,1.6907094142084218
2048,0.02,1.0,0,3.153944808911261,3.1389491049443703,3.167834233480624,3.1826700002827377,3.1607841190921073,3.1831739393646195
2048,0.02,1.0,1,2.9755759814535105,2.9434547523280647,3.007291548929129,2.9906155408430335,2.9755266759332186,2.9909706823941526
2048,0.02,1.0,2,2.9682177165431582,2.9484371945301255,2.989768066415306,2.9710544828012813,2.955342240401869,2.9715968877188152
2048,0.08,0.5,0,1.6629581420758341,1.66192328828706,1.663948093260932,1.664625054345882,1.663206663539031,1.6646346438957234
2048,0.08,0.5,1,1.6356859662667922,1.6294223094929305,1.6419564951215986,1.6368138631309954,1.6358655807397164,1.6368016617570424
2048,0.08,0.5,2,1.6299083666549374,1.6255575465511873,1.6345493406102507,1.629169162348706,1.6282017703938472,1.6290846758106035
2048,0.08,1.0,0,2.7843427332067026,2.777442166634442,2.790419584919465,2.7922173890636386,2.7857795387524433,2.792255369116296
2048,0.08,1.0,1,2.6156743599422727,2.57708811892396,2.654677676185141,2.6205608026550054,2.616539448001144,2.6204662714317593
2048,0.08,1.0,2,2.578598126529952,2.5516667797511254,2.6076401314696254,2.5723407040221984,2.568368534580275,2.57176911521382
