bandwidth,n,tau,delta,probe,population,true_second_moment,centered_true_variance,conditional_mean,nonlinear_bias,design_bias,label_mc,control_variate_covariance,remainder_rms,nonlinear_ci_low,nonlinear_ci_high,design_ci_low,design_ci_high,control_variate_ci_low,control_variate_ci_high,true_second_ci_low,true_second_ci_high
0.7,128,0.02,0.0,0,2.7496256223873634,2.2621601968804814,2.2789280731761528,2.781778986817825,0.05190200796935878,0.03215336443046133,-0.5715207979067021,2.8336809947871835,0.0073659764233645324,0.03672172120239946,0.06895102442013622,0.019136948171379557,0.04653437263331486,2.8133560344423327,2.855052207595209,1.739085718979693,2.790221795133047
0.7,128,0.02,0.0,1,0.6333714970835536,0.6303791381505621,0.6184380742679829,0.6310878052494101,0.013230446556607474,-0.0022836918341434653,-0.013939113655455535,0.6443182518060175,0.0073659764233645324,0.008647496930287317,0.01906361931707276,-0.0069340957256895566,0.0029522201051210262,0.6373378033105481,0.652148230594784,0.4746555855713319,0.8043742701442647
0.7,128,0.02,0.0,2,0.6226866563504915,0.5997393154065835,0.604556809733382,0.6212956527356082,0.01254449491575444,-0.0013910036148833572,-0.034100832244779056,0.6338401476513625,0.0073659764233645324,0.009114137849325788,0.016204186268098893,-0.005248825744765895,0.00267164718714712,0.6284350044601787,0.6392944538280725,0.46451880240494803,0.753138749988174
0.7,128,0.02,0.5,0,4.728393326843619,3.790478507373257,3.8185450213945504,4.7801512648157365,-0.007932339542434828,0.05175793797211734,-0.9817404179000454,4.772218925273301,0.006055431483884023,-0.013157575353584208,-0.0028296827396164896,0.029797762593545416,0.07598462834704856,4.748787436901149,4.796361898809151,2.915312362317177,4.677544924524571
0.7,128,0.02,0.5,1,1.0724410662208406,1.040252475128153,1.020404017093252,1.068161423787217,-0.002933369300080946,-0.004279642433623664,-0.024975579358983,1.065228054487136,0.006055431483884023,-0.004692211588811072,-0.0013747669562461252,-0.011810186820042909,0.004250176061257202,1.0576330691315903,1.0734559081096777,0.7838875419070584,1.3239415152136107
0.7,128,0.02,0.5,2,1.0527821919937403,0.9865339329183986,0.9943986320945618,1.049880617284887,-0.004606977102474816,-0.0029015747088532973,-0.058739707264013674,1.0452736401824123,0.006055431483884023,-0.006577159798224318,-0.002733496990982909,-0.00923757011869466,0.00377379344140265,1.0389431623430687,1.0520008054380425,0.763641829487282,1.240145435686217
0.7,128,0.02,1.0,0,8.752536624192677,6.682918286768154,6.732712587179795,8.829755107856352,-0.3355179338051106,0.0772184836636745,-1.8113188872830872,8.494237174051241,0.03180063738636159,-0.42837683877189126,-0.24952862069755452,0.0374531645908861,0.119822843246141,8.390008035694121,8.59450346134416,5.149726379891633,8.253675656746154
0.7,128,0.02,1.0,1,1.8943955788410023,1.7517960172861435,1.7179851782766253,1.8850511432968817,-0.08175213764730796,-0.009344435544120074,-0.05150298836343097,1.8032990056495746,0.03180063738636159,-0.11214359953625758,-0.05625401400134046,-0.02145356366575354,0.003999227109543905,1.7719652016569822,1.8322378771528998,1.3219651813877453,2.2182864178277892
0.7,128,0.02,1.0,2,1.850373730035156,1.6500203403920155,1.6630113614494682,1.8428224510005977,-0.08362962089997866,-0.0075512790345584665,-0.10917248970860269,1.7591928301006186,0.03180063738636159,-0.10567016273844908,-0.0628602269283039,-0.017755168314967897,0.002880342661601649,1.7367263681872576,1.7822061823198123,1.276106394820281,2.0778613573827096
0.7,128,0.08,0.0,0,1.2962166340403238,1.0338425617745135,1.0413525596720907,1.2926157250810275,0.004625751496240314,-0.003600908959296478,-0.2633989148027542,1.2972414765772677,0.0005259723729783256,0.0031791924963764243,0.006207615060445369,-0.006191479817784898,-0.0010702737663115555,1.294590162071278,1.3001379590929951,0.7982119407138336,1.279116650562925
0.7,128,0.08,0.0,1,0.2012576767529909,0.18927050740757767,0.18583298975541046,0.20006366760841154,0.0006778898527612723,-0.0011940091445793355,-0.011471050053595166,0.2007415574611728,0.0005259723729783256,0.0004402007155548436,0.0009597259926238807,-0.0017678964066690345,-0.0005909813852262677,0.20014594994387275,0.20135337866374248,0.14356004661820523,0.23901584967033587
0.7,128,0.08,0.0,2,0.1846456393653955,0.16793340487147432,0.16915086608093255,0.1832961968361628,0.0005398758487355073,-0.0013494425292327234,-0.01590266781342394,0.1838360726848983,0.0005259723729783256,0.0003680664084764358,0.0007244512599409272,-0.001980356781871515,-0.0007385829849680314,0.1831528397308618,0.18447163443771403,0.12898303415880538,0.20936982994692374
0.7,128,0.08,0.5,0,2.1577271150174275,1.705345731442592,1.717749120543241,2.150693458755073,-0.007182965842976986,-0.007033656262354864,-0.4381647614695035,2.1435104929120956,0.0009812210232893921,-0.00912415195366359,-0.0054090077605136256,-0.01100825352820024,-0.003244146032043148,2.1391332438116892,2.147881439706577,1.316206176196272,2.1082578801461134
0.7,128,0.08,0.5,1,0.3294188997506572,0.3070576517388251,0.301516825414982,0.32750138069722357,-0.0011212873472206215,-0.001917519053433665,-0.0193224416111778,0.3263800933500029,0.0009812210232893921,-0.0015616210492174006,-0.0007544324573775968,-0.002927393940371772,-0.0009010050440890489,0.325271442509924,0.32745912087435886,0.23324022022878377,0.38770562492873095
0.7,128,0.08,0.5,2,0.3008033815454169,0.27106444296637117,0.27302160769162626,0.29860282810082234,-0.0011374465227742987,-0.0022005534445945557,-0.026400938611676944,0.2974653815780481,0.0009812210232893921,-0.0014393199373959372,-0.0008369731029599197,-0.0032552315175603534,-0.001155767448285044,0.2964179182698513,0.2985348447918924,0.20830933931465834,0.33808292551915203
0.7,128,0.08,1.0,0,3.619367855936947,2.8195178190457653,2.8400520313064135,3.602895153051337,-0.04970853856270567,-0.016472702885610535,-0.7336687954428653,3.5531866144886313,0.0038609788760497372,-0.06396522200285865,-0.036287522169377945,-0.021345227157090727,-0.01193583434013483,3.537275372798917,3.5677534409655394,2.1748557136589746,3.48395699685335
