a,b,tau,delta,third,baseline_third,third_magnitude_ratio,third_sign_reversal,fundamental_ratio,rkhs_norm_ratio,baseline_linear_third
0.0,0.0,0.02,0.005,1.328697950913585e-05,1.3312788716481148e-05,0.9980613222447265,False,1.002492286262301,1.0024922851611406,-1.8323016715005025e-17
0.0,0.0,0.02,0.02,1.3203437367753277e-05,1.3312788716481148e-05,0.9917859923223679,False,1.0100280959383843,1.0100280914359399,-1.8323016715005025e-17
0.0,0.0,0.02,0.1,1.2590634534243115e-05,1.3312788716481148e-05,0.9457548528999029,False,1.0517542074013035,1.0517541823309238,-1.8323016715005025e-17
0.0,0.0,0.02,0.25,1.0530882998580635e-05,1.3312788716481148e-05,0.7910350883540628,False,1.1374307212587949,1.137430648120874,-1.8323016715005025e-17
0.0,0.0,0.02,0.5,3.426056323452796e-06,1.3312788716481148e-05,0.2573507622194409,False,1.3045208559003696,1.3045206997674548,-1.8323016715005025e-17
0.0,0.0,0.02,1.0,-3.4234612238508546e-05,1.3312788716481148e-05,2.571558293877699,True,1.7485064429460466,1.748506696192898,-1.8323016715005025e-17
0.0,0.0,0.08,0.005,8.240168543229682e-07,8.303807138848466e-07,0.9923362146356871,False,1.002496095708322,1.0024960956829456,-1.0354130747236567e-17
0.0,0.0,0.08,0.02,8.042000235795963e-07,8.303807138848466e-07,0.9684714615025598,False,1.0100211936871966,1.010021193585034,-1.0354130747236567e-17
0.0,0.0,0.08,0.1,6.792421795747457e-07,8.303807138848466e-07,0.817988867295562,False,1.0511017093528539,1.0511017088325323,-1.0354130747236567e-17
0.0,0.0,0.08,0.25,3.475712898532487e-07,8.303807138848466e-07,0.41856859635765614,False,1.1325673843677688,1.1325673831403202,-1.0354130747236567e-17
0.0,0.0,0.08,0.5,-5.403364660452837e-07,8.303807138848466e-07,0.6507093156311132,True,1.2818122815292052,1.2818122803348868,-1.0354130747236567e-17
0.0,0.0,0.08,1.0,-3.800078724045604e-06,8.303807138848466e-07,4.576308987557461,True,1.6310060163477187,1.631006030417873,-1.0354130747236567e-17
0.0,0.25,0.02,0.005,1.343707647964449e-05,1.3466108482658359e-05,0.9978440688301854,False,1.002491768794661,1.002491161771608,1.2576745200831851e-17
0.0,0.25,0.02,0.02,1.3343617485880432e-05,1.3466108482658359e-05,0.9909037568696502,False,1.0100259896703927,1.0100209175308594,1.2576745200831851e-17
0.0,0.25,0.02,0.1,1.2671467307319266e-05,1.3466108482658359e-05,0.9409895459878085,False,1.0517426635564215,1.0516435627033245,1.2576745200831851e-17
0.0,0.25,0.02,0.25,1.0469620908624359e-05,1.3466108482658359e-05,0.7774793231546535,False,1.1373966275481167,1.1367668350032625,1.2576745200831851e-17
0.0,0.25,0.02,0.5,3.0346015129781648e-06,1.3466108482658359e-05,0.22535103715272467,False,1.3044323492909111,1.3016965704834595,1.2576745200831851e-17
0.0,0.25,0.02,1.0,-3.557891409604937e-05,1.3466108482658359e-05,2.6421080850394056,True,1.7482301066786161,1.7355877897280747,1.2576745200831851e-17
0.0,0.25,0.08,0.005,8.259624897870689e-07,8.325047036961348e-07,0.9921415291949465,False,1.0024959938994549,1.0024959474816948,-5.421010862427522e-19
0.0,0.25,0.08,0.02,8.055992242135329e-07,8.325047036961348e-07,0.9676812883300868,False,1.0100207800708563,1.0100201463642346,-5.421010862427522e-19
0.0,0.25,0.08,0.1,6.774376202492091e-07,8.325047036961348e-07,0.8137342855139887,False,1.0510994680737114,1.051083810469471,-5.421010862427522e-19
0.0,0.25,0.08,0.25,3.384545715738596e-07,8.325047036961348e-07,0.40654974088578355,False,1.1325609425467293,1.1324574756116519,-5.421010862427522e-19
0.0,0.25,0.08,0.5,-5.650884340179267e-07,8.325047036961348e-07,0.6787810705561907,True,1.2817965530516668,1.2813471211253276,-5.421010862427522e-19
0.0,0.25,0.08,1.0,-3.863057072923969e-06,8.325047036961348e-07,4.640282578312002,True,1.6309646312822674,1.628986739302049,-5.421010862427522e-19
0.0,0.5,0.02,0.005,1.3887352857536346e-05,1.3926052577635864e-05,0.997221056011115,False,1.0024902165324592,1.0024884029789727,5.4643789493269423e-17
0.0,0.5,0.02,0.02,1.3764145856272683e-05,1.3926052577635864e-05,0.9883738252128108,False,1.0100196715015466,1.0100034236866569,5.4643789493269423e-17
0.0,0.5,0.02,0.1,1.2913982793604992e-05,1.3926052577635864e-05,0.9273254370979342,False,1.05170803739027,1.0513759359738681,5.4643789493269423e-17
