n,tau,delta,projection,variance,reference_variance,ratio,ci_low,ci_high,reference_ratio,reference_within_ci
128,0.02,0.5,constant,4.564821465833072,4.728393326843619,1.6748944072858751,1.6668414071902315,1.6821577666743726,1.7196498637287903,False
128,0.02,0.5,x1,1.3145723411436483,1.0724410662208406,1.6487028112697613,1.6411616096482977,1.656596372608871,1.6932259679493684,False
128,0.02,0.5,x2,0.9606129820188012,1.0527821919937403,1.6450947704307424,1.6371544445290944,1.6527469967961232,1.6907094142084218,False
128,0.02,1.0,constant,8.03788655984684,8.752536624192677,2.9492087141307004,2.9098103987943578,2.984529082950699,3.1831739393646195,False
128,0.02,1.0,x1,2.216765093215447,1.8943955788410023,2.7802097508984556,2.7456316927169655,2.819164793310141,2.9909706823941526,False
128,0.02,1.0,x2,1.6107540944865453,1.850373730035156,2.758491907657624,2.7234861171519884,2.7935811259738643,2.9715968877188152,False
128,0.08,0.5,constant,2.052094009781254,2.1577271150174275,1.6485895292593507,1.6456303720600332,1.6512369478156954,1.6646346438957234,False
128,0.08,0.5,x1,0.41077666417642467,0.3294188997506572,1.6228434159183884,1.6188366623095303,1.6276229272843377,1.6368016617570424,False
128,0.08,0.5,x2,0.27145125545201704,0.3008033815454169,1.6153060750005594,1.6112565078116925,1.6191217856009221,1.6290846758106035,False
128,0.08,1.0,constant,3.3894769825158546,3.619367855936947,2.7230020829488524,2.7092224749739504,2.7359727034694723,2.792255369116296,False
128,0.08,1.0,x1,0.6495206713518857,0.5273889537979283,2.566042418986065,2.5446544882859894,2.5912046136312608,2.6204662714317593,False
128,0.08,1.0,x2,0.4228841467898367,0.4748659525788333,2.516427231819516,2.493531734625446,2.5368995752291275,2.57176911521382,False
256,0.02,0.5,constant,4.997315106861407,4.728393326843619,1.696752156865035,1.6926545739771492,1.7002889084595045,1.7196498637287903,False
256,0.02,0.5,x1,1.1274780480471087,1.0724410662208406,1.6715216661035932,1.666456173777253,1.6762204139868748,1.6932259679493684,False
256,0.02,0.5,x2,1.0931153183024338,1.0527821919937403,1.666929855230743,1.6621949032113628,1.6717395204030698,1.6907094142084218,False
256,0.02,1.0,constant,9.004656352972676,8.752536624192677,3.057375763188703,3.0336615884582705,3.078582702469362,3.1831739393646195,False
256,0.02,1.0,x1,1.9427975121281984,1.8943955788410023,2.880258413899298,2.85068397993536,2.9079202434035625,2.9909706823941526,False
256,0.02,1.0,x2,1.8706954613662627,1.850373730035156,2.8526890643511438,2.826138191592887,2.8795907844284665,2.9715968877188152,False
256,0.08,0.5,constant,2.2921345159033963,2.1577271150174275,1.6563282585990824,1.6547456485180811,1.6579677695195612,1.6646346438957234,False
256,0.08,0.5,x1,0.34450800300949214,0.3294188997506572,1.6292592705385047,1.6248520271679607,1.6335005654681034,1.6368016617570424,False
256,0.08,0.5,x2,0.3115808952039046,0.3008033815454169,1.6221034473213507,1.6181041441026884,1.6262137362389748,1.6290846758106035,False
256,0.08,1.0,constant,3.8150636617529883,3.619367855936947,2.7568180259374815,2.747634090123156,2.7660826183743272,2.792255369116296,False
256,0.08,1.0,x1,0.5474129162284925,0.5273889537979283,2.5888442671481733,2.5620574273389907,2.615014125117065,2.6204662714317593,False
256,0.08,1.0,x2,0.48879656539018185,0.4748659525788333,2.544695794777067,2.5201481652414888,2.5694864765432555,2.57176911521382,False
512,0.02,0.5,constant,5.141806228329634,4.728393326843619,1.7070999723961224,1.704449028658078,1.7096757777531955,1.7196498637287903,False
512,0.02,0.5,x1,1.1376000028127027,1.0724410662208406,1.6825447912478095,1.6790019050563436,1.6863076108290591,1.6932259679493684,False
512,0.02,0.5,x2,1.0741481644074438,1.0527821919937403,1.678214160026405,1.6750082963179895,1.6810784656340065,1.6907094142084218,False
512,0.02,1.0,constant,9.372373397945864,8.752536624192677,3.1116649788876147,3.0962671889985294,3.1275488810424736,3.1831739393646195,False
512,0.02,1.0,x1,1.9866553922820607,1.8943955788410023,2.9383233773065442,2.914823167088982,2.963860153424655,2.9909706823941526,False
512,0.02,1.0,x2,1.8603770776853152,1.850373730035156,2.9065926454218345,2.8861204395485696,2.924975598943216,2.9715968877188152,False
512,0.08,0.5,constant,2.3304619814842082,2.1577271150174275,1.66012381552953,1.6589191560371719,1.6613823792852962,1.6646346438957234,False
512,0.08,0.5,x1,0.35553880177539,0.3294188997506572,1.6345697771513208,1.6301322185135663,1.639266555785171,1.6368016617570424,True
512,0.08,0.5,x2,0.30547577800487036,0.3008033815454169,1.6257246237141292,1.6216657476490757,1.6290675766502645,1.6290846758106035,False
512,0.08,1.0,constant,3.891275192134504,3.619367855936947,2.771981980640396,2.7649188761409795,2.7791108954248585,2.792255369116296,False
512,0.08,1.0,x1,0.5686165946558903,0.5273889537979283,2.6141830252282654,2.5866555302229353,2.644005479748944,2.6204662714317593,True
512,0.08,1.0,x2,0.4807623572871645,0.4748659525788333,2.5585897759269542,2.534022075161039,2.578891206113775,2.57176911521382,True
