grid,epsilon,delta,c1,c3,matched_c1,matched_c3,absolute,relative,residual,min_gram_eigenvalue
512,0.025,0,0.039901929988293644,6.152902898847476e-08,0.039901929988293644,6.152902898847476e-08,0.0,0.0,3.053042647549553e-16,7.644394464685589e-08
512,0.05,0,0.07982287651485925,4.923037616512979e-07,0.07982287651485925,4.923037616512979e-07,0.0,0.0,3.053042647549553e-16,7.644394464685589e-08
512,0.1,0,0.15979813001803062,3.940718417489906e-06,0.15979813001803062,3.940718417489906e-06,0.0,0.0,3.053042647549553e-16,7.644394464685589e-08
512,0.2,0,0.3208231532037856,3.159888888058218e-05,0.3208231532037856,3.159888888058218e-05,0.0,0.0,3.053042647549553e-16,7.644394464685589e-08
512,0.025,0.005,0.04000187004995363,6.140984859928438e-08,0.04000188409578499,6.168263548380953e-08,9.9337755000009e-09,3.5119558210930636e-07,3.101743717037103e-16,7.644394464685589e-08
512,0.05,0.005,0.08002271988141782,4.913501080649682e-07,0.08002283229389806,4.935327914823298e-07,7.950260945339612e-08,1.4050218325187565e-06,3.101743717037103e-16,7.644394464685589e-08
512,0.1,0.005,0.1601975219302604,3.933082456223508e-06,0.16019842269922208,3.950556346183655e-06,6.370596750414641e-07,5.623922401279804e-06,3.101743717037103e-16,7.644394464685589e-08
512,0.2,0.005,0.3216195537148391,3.153758610699485e-05,0.3216268072103413,3.167777417556201e-05,5.129953688833249e-06,2.2557241816978562e-05,3.101743717037103e-16,7.644394464685589e-08
512,0.025,0.02,0.040304094226675066,6.102370753166358e-08,0.04030415175121972,6.214082082861767e-08,4.068366490271375e-08,1.4275321596066191e-06,3.2540499875643736e-16,7.644394464685589e-08
512,0.05,0.02,0.08062705019167682,4.88260548534231e-07,0.08062751056737727,4.971987961949111e-07,3.2559612853262357e-07,5.711017080792327e-06,3.2540499875643736e-16,7.644394464685589e-08
512,0.1,0.02,0.16140523601166612,3.908352192438032e-06,0.16140892476637875,3.979901080997507e-06,2.608834085693195e-06,2.285829528244189e-05,3.2540499875643736e-16,7.644394464685589e-08
512,0.2,0.02,0.3240273387590267,3.133930340154718e-05,0.3240570340712854,3.1913065654006704e-05,2.1001675806040948e-05,9.166157007707715e-05,3.2540499875643736e-16,7.644394464685589e-08
512,0.025,0.1,0.04197863994001064,5.818059945495173e-08,0.04197896658972445,6.451252546234233e-08,2.3101961909820345e-07,7.782793319876889e-06,4.046940344713583e-16,7.644394464685589e-08
512,0.05,0.1,0.0839752953226248,4.6551985705893355e-07,0.08397790926696111,5.161749057744813e-07,1.8486847929272824e-06,3.11333838913705e-05,4.046940344713583e-16,7.644394464685589e-08
512,0.1,0.1,0.1680949482079683,3.7265599127283893e-06,0.1681158837040638,4.1317890378994625e-06,1.4806404145018612e-05,0.00012456898776523888,4.046940344713583e-16,7.644394464685589e-08
512,0.2,0.1,0.3373522889285729,2.9889192853455168e-05,0.33752054536564025,3.313069460137742e-05,0.00011899734440502162,0.0004988484240552434,4.046940344713583e-16,7.644394464685589e-08
512,0.025,0.25,0.04542329768122485,4.856113059375578e-08,0.045424340385764414,6.857517939558083e-08,7.374392581679441e-07,2.29595087447368e-05,5.45339971445523e-16,7.644394464685589e-08
512,0.05,0.25,0.09086178218451652,3.886218495113749e-07,0.09087012427393232,5.486791964413938e-07,5.899833649158538e-06,9.182765912917178e-05,5.45339971445523e-16,7.644394464685589e-08
512,0.1,0.25,0.18184531730184555,3.1132171617441083e-06,0.18191206873718258,4.391921125691638e-06,4.720905211625105e-05,0.0003671454549966502,5.45339971445523e-16,7.644394464685589e-08
512,0.2,0.25,0.36467294947580275,2.5040555328881232e-05,0.365207460113791,3.521486254266706e-05,0.00037802456183328413,0.0014659915460220215,5.45339971445523e-16,7.644394464685589e-08
