model,pair,method,tau,scale,log_loss,brier,accuracy,score_variance,probability_variance,probability_rms_difference,disagreement,loss_difference,difference_ci_low,difference_ci_high
resnet18,3/5,ERM,0.02,1.0,0.6373221644086636,0.222303084583134,0.7691666666666667,0.00941152223127506,0.0005759209832315406,0.026628558278874233,0.014666666666666666,0.0228355586313631,0.0218896586830718,0.023645975704746653
resnet18,3/5,Samplewise,0.02,1.0,0.6144866057773005,0.21133473193366642,0.7611666666666667,0.025695686978560367,0.00153177099187936,0.0,0.0,0.0,0.0,0.0
resnet18,3/5,Matched,0.025430806348152438,1.8591409142295228,0.6140590484497057,0.21117148176878361,0.7548333333333334,0.030301925431193418,0.001801100582613482,0.003506142271633835,0.009,-0.00042755732759482227,-0.0006048403298367058,-0.0002204817990084774
resnet18,3/5,Tuned,0.0002,1.0,0.4030292569998152,0.12954197735861855,0.8121666666666667,0.251815013923847,0.00694053844371606,0.2595220795240618,0.17233333333333334,-0.21145734877748543,-0.21625038479490466,-0.2066647258530339
resnet18,3/5,Calibrated,0.0002,1.4523356398571894,0.40090600205437077,0.12894280945858974,0.8121666666666667,0.5311480731107241,0.010526151361230944,0.30858753322873994,0.17233333333333334,-0.21358060372292983,-0.22100402120369847,-0.2061493331839112
resnet18,1/9,ERM,0.02,1.0,0.5859316295298889,0.19701284325164967,0.901,0.006636712568889049,0.00039771312614368047,0.03500956614895994,0.004166666666666667,0.0442722313136249,0.043381004161225256,0.045063146403941906
resnet18,1/9,Samplewise,0.02,1.0,0.541659398216264,0.17608952953197624,0.8971666666666667,0.016825686254301725,0.000960467077585134,0.0,0.0,0.0,0.0,0.0
resnet18,1/9,Matched,0.025430806348152438,1.8591409142295228,0.5396325011597706,0.17522477135449116,0.891,0.021878546752075217,0.0012421226447233745,0.004790099865660926,0.010166666666666666,-0.002026897056493389,-0.002306955254628042,-0.0017116418946126182
resnet18,1/9,Tuned,0.0002,1.0,0.20900816808326003,0.05494614495373221,0.941,0.12126145647452663,0.0019892683571361824,0.2957364128983909,0.07816666666666666,-0.33265123013300396,-0.33486951838608797,-0.3305047578700748
resnet18,1/9,Calibrated,0.0002,1.770242447337545,0.17995413235216404,0.046761223205551386,0.941,0.3800040984080118,0.0032251014812744536,0.35310575062115873,0.07816666666666666,-0.3617052658641,-0.36469690288406986,-0.3586159148176619
resnet18,0/8,ERM,0.02,1.0,0.5760129673752892,0.1923723513920203,0.8756666666666667,0.004703542406087857,0.00027760504450991485,0.03844676089364577,0.005166666666666667,0.04674774461952822,0.04620292865447511,0.0472229883843911
resnet18,0/8,Samplewise,0.02,1.0,0.5292652227557608,0.17071027526570096,0.8745,0.01139370163698743,0.0006318862613685375,0.0,0.0,0.0,0.0,0.0
resnet18,0/8,Matched,0.025430806348152438,1.8591409142295228,0.5258433047995259,0.16923318355869618,0.8721666666666666,0.014809412378506127,0.0008125776659759177,0.004970417125283545,0.007,-0.003421917956234847,-0.003634733152713,-0.0031768401503855744
resnet18,0/8,Tuned,0.0002,1.0,0.21165891223628017,0.060713816544271576,0.9163333333333333,0.14931496031632827,0.00235602567358305,0.2823589719269279,0.0805,-0.3176063105194807,-0.32111586558613575,-0.3141395573134814
resnet18,0/8,Calibrated,0.0002,1.6573259528200903,0.18264206975062347,0.056161161633909766,0.9163333333333333,0.41012777850333315,0.003616701109427269,0.3325781870238814,0.0805,-0.3466231530051374,-0.3523371134404979,-0.34107680147895925
vit_b_16,3/5,ERM,0.02,1.0,0.46331481529415314,0.14092306180671893,0.9053333333333333,0.0076257903178261355,0.0003894250284689349,0.05989323463865266,0.0015,0.06855321031294552,0.0682655853371478,0.06882636072790868
vit_b_16,3/5,Samplewise,0.02,1.0,0.3947616049812075,0.11386277591790629,0.9048333333333334,0.015960950639132433,0.0006934529487157826,0.0,0.0,0.0,0.0,0.0
vit_b_16,3/5,Matched,0.025430806348152438,1.8591409142295228,0.3780452774924163,0.1080612692834741,0.9036666666666666,0.021987391630182512,0.000887217515447078,0.016525638519733512,0.004166666666666667,-0.016716327488791243,-0.01697587253623044,-0.016422226399319857
vit_b_16,3/5,Tuned,0.0002,1.0,0.21956608361691113,0.0642819217355385,0.9116666666666666,0.29266763420487973,0.003656470227020875,0.21999414959745386,0.041166666666666664,-0.17519552136429642,-0.17922503753811128,-0.1716411074547576
vit_b_16,3/5,Calibrated,0.0002,1.044093378177195,0.2191794144627037,0.06417517920908149,0.9116666666666666,0.3190460555788308,0.003798659796685086,0.22443072738730663,0.041166666666666664,-0.17558219051850385,-0.179771845963718,-0.17188933922552901
vit_b_16,1/9,ERM,0.02,1.0,0.3603457430029065,0.09609230436992243,0.967,0.0043863293232535225,0.00018396577643368218,0.06828656441739742,0.0011666666666666668,0.08289675739959633,0.08261152066775719,0.08315187511154186
vit_b_16,1/9,Samplewise,0.02,1.0,0.2774489856033103,0.06713961379127634,0.9681666666666666,0.008148828506797507,0.00025641293868311786,0.0,0.0,0.0,0.0,0.0
vit_b_16,1/9,Matched,0.025430806348152438,1.8591409142295228,0.250965043768612,0.05940375330353409,0.9663333333333334,0.013414461938331566,0.0003559705734888037,0.02392751146027725,0.0021666666666666666,-0.02648394183469824,-0.026785513952720722,-0.02613050935409722
vit_b_16,1/9,Tuned,0.0002,1.0,0.08499741065315818,0.02218570641873695,0.976,0.10910533948988115,0.000688408401895972,0.18875725390559217,0.013833333333333333,-0.1924515749501521,-0.1936961842288687,-0.19117162544617847
vit_b_16,1/9,Calibrated,0.001,2.2058854033608983,0.07968589764944498,0.022006818678675377,0.9756666666666667,0.17744898090390052,0.0006847036186697556,0.21039338551775424,0.009166666666666667,-0.1977630879538653,-0.19923656746757928,-0.1961045319893072
vit_b_16,0/8,ERM,0.02,1.0,0.3826096137676016,0.10497902003211179,0.9678333333333333,0.003974507455251778,0.0001785421350351267,0.0668638859339585,0.00016666666666666666,0.08284869003918773,0.08250325317963207,0.08314701266563501
vit_b_16,0/8,Samplewise,0.02,1.0,0.2997609237284139,0.07458827337821185,0.968,0.007790616937990448,0.0002720328141464838,0.0,0.0,0.0,0.0,0.0
vit_b_16,0/8,Matched,0.025430806348152438,1.8591409142295228,0.27437527842528336,0.06661342069645614,0.9668333333333333,0.011215050645481988,0.0003424127903130094,0.022349137861590634,0.0011666666666666668,-0.025385645303130647,-0.025605886706083634,-0.02516096951661465
vit_b_16,0/8,Tuned,0.0002,1.0,0.09414022634604453,0.02379956134040092,0.9715,0.202785934099001,0.0012229778806087006,0.19720622229907844,0.011166666666666667,-0.20562069738236946,-0.20736235297589192,-0.20393554733344563
vit_b_16,0/8,Calibrated,0.0002,1.7687601794515242,0.07898769587191641,0.022108266872955754,0.9715,0.6344183443373175,0.0015120230868119844,0.23428425076377063,0.011166666666666667,-0.2207732278564976,-0.22356086030368913,-0.21808938084116575
