model,radius,epsilon,rank,relative_parameter_difference
resnet18,0.0,0.05,1,5.86551609324351e-14
resnet18,0.0,0.05,8,3.868107680098141e-09
resnet18,0.0,0.05,32,2.2270947269324472e-09
resnet18,0.0,0.1,1,2.3057234980232967e-13
resnet18,0.0,0.1,8,3.868256064044998e-09
resnet18,0.0,0.1,32,2.2271107640780656e-09
resnet18,0.0,0.2,1,8.662436541115265e-13
resnet18,0.0,0.2,8,3.868848994788271e-09
resnet18,0.0,0.2,32,2.227175240406477e-09
resnet18,0.25,0.05,1,0.00011700304333512255
resnet18,0.25,0.05,8,5.333276107262331e-07
resnet18,0.25,0.05,32,4.376640276170235e-08
resnet18,0.25,0.1,1,0.00046803583526403567
resnet18,0.25,0.1,8,2.145072393303167e-06
resnet18,0.25,0.1,32,1.6774677051027452e-07
resnet18,0.25,0.2,1,0.0018726603917545639
resnet18,0.25,0.2,8,8.59146654419669e-06
resnet18,0.25,0.2,32,6.636762803405412e-07
resnet18,0.5,0.05,1,0.0003242414289223018
resnet18,0.5,0.05,8,1.1358382258561973e-06
resnet18,0.5,0.05,32,8.982662719688532e-08
resnet18,0.5,0.1,1,0.0012944668547159757
resnet18,0.5,0.1,8,4.556792378588455e-06
resnet18,0.5,0.1,32,3.494850789516722e-07
resnet18,0.5,0.2,1,0.005139275256941341
resnet18,0.5,0.2,8,1.8238999250480504e-05
resnet18,0.5,0.2,32,1.38811975152514e-06
resnet18,1.0,0.05,1,0.0012572260821231047
resnet18,1.0,0.05,8,2.2278037234442448e-06
resnet18,1.0,0.05,32,1.6984147778239814e-07
resnet18,1.0,0.1,1,0.004983989094996974
resnet18,1.0,0.1,8,8.929748864902921e-06
resnet18,1.0,0.1,32,6.594142130706299e-07
resnet18,1.0,0.2,1,0.019272450435375357
resnet18,1.0,0.2,8,3.57335034549928e-05
resnet18,1.0,0.2,32,2.6177064525297764e-06
vit_b_16,0.0,0.05,1,1.117397668963694e-12
vit_b_16,0.0,0.05,8,1.4582540031563357e-08
vit_b_16,0.0,0.05,32,3.676336129031693e-08
vit_b_16,0.0,0.1,1,4.4590880825992665e-12
vit_b_16,0.0,0.1,8,1.4581302600069914e-08
vit_b_16,0.0,0.1,32,3.67630286007394e-08
vit_b_16,0.0,0.2,1,1.7674463320018407e-11
vit_b_16,0.0,0.2,8,1.4576341706581157e-08
vit_b_16,0.0,0.2,32,3.676169704073925e-08
vit_b_16,0.25,0.05,1,4.8244564031859115e-05
vit_b_16,0.25,0.05,8,3.1830468619914024e-06
vit_b_16,0.25,0.05,32,1.6756994086271823e-07
vit_b_16,0.25,0.1,1,0.00019290213825944383
vit_b_16,0.25,0.1,8,1.269265029458388e-05
vit_b_16,0.25,0.1,32,7.537033412639011e-07
vit_b_16,0.25,0.2,1,0.0007703987532602303
vit_b_16,0.25,0.2,8,5.071448513027828e-05
vit_b_16,0.25,0.2,32,3.101559909923413e-06
vit_b_16,0.5,0.05,1,0.00012197401020017319
vit_b_16,0.5,0.05,8,6.894710993697285e-06
vit_b_16,0.5,0.05,32,3.883464668070768e-07
vit_b_16,0.5,0.1,1,0.00048733195040405957
vit_b_16,0.5,0.1,8,2.754052704327962e-05
vit_b_16,0.5,0.1,32,1.628029900138914e-06
vit_b_16,0.5,0.2,1,0.0019404106669174013
vit_b_16,0.5,0.2,8,0.00011007194049841641
vit_b_16,0.5,0.2,32,6.587532680412474e-06
vit_b_16,1.0,0.05,1,0.00038207807822366284
vit_b_16,1.0,0.05,8,1.438427695879418e-05
vit_b_16,1.0,0.05,32,7.963386615130363e-07
vit_b_16,1.0,0.1,1,0.0015232502109687666
vit_b_16,1.0,0.1,8,5.752342520813947e-05
vit_b_16,1.0,0.1,32,3.198043844544806e-06
vit_b_16,1.0,0.2,1,0.0060142178743825625
vit_b_16,1.0,0.2,8,0.00022991771776933198
vit_b_16,1.0,0.2,32,1.2803981187814222e-05
