split_seed,method,tau,delta,scale,validation_log_loss,test_log_loss,test_brier,test_accuracy,test_score_variance,solver_iterations,solver_residual,n_train,n_validation,n_test,candidate_count,selection_grid,model,pair,class_a,class_b,split_index
20270901,SW-tuned,0.001,2.0,1.0,0.39282244340655115,0.3812520917832301,0.11926680259970139,0.845,4.833293544445675,241,3.5524533006843676e-10,480,120,200,55,expanded_tau_x_delta,resnet18,cat_dog,3,5,0
20270901,ERM-tuned,0.0003,0.0,1.0,0.4115074255771269,0.38839240354191773,0.12106107734648049,0.835,3.3802513191211956,401,6.636301209972754e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,0
20270901,ERM-calibrated,0.001,0.0,2.2119011988610957,0.38832420283535235,0.37614718295469596,0.11765233031673152,0.84,6.925564954647671,221,6.885800118607392e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,0
20270901,Matched,0.025430806348152438,0.0,1.8591409142295228,0.6039777918264382,0.6089411000685087,0.20845265298487234,0.81,0.0863809516444398,61,2.397288496476578e-13,480,120,200,0,analytic,resnet18,cat_dog,3,5,0
20270902,SW-tuned,0.0001,0.0,1.0,0.3669639091669229,0.393350833339321,0.12745786579962226,0.82,6.499466292426731,681,7.067468120194792e-10,480,120,200,55,expanded_tau_x_delta,resnet18,cat_dog,3,5,1
20270902,ERM-tuned,0.0001,0.0,1.0,0.3669639091669229,0.393350833339321,0.12745786579962226,0.82,6.499466292426731,681,7.067468120194792e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,1
20270902,ERM-calibrated,0.0001,0.0,0.9744005224751087,0.366876049582947,0.3940036037489199,0.1275736424338906,0.82,6.170959726238937,681,7.067468120194792e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,1
20270902,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5975349536695842,0.6107577723773274,0.20933328616697197,0.805,0.08162116107798145,61,2.3028710217787054e-13,480,120,200,0,analytic,resnet18,cat_dog,3,5,1
20270903,SW-tuned,0.0003,2.0,1.0,0.35618042545932294,0.35768702346656517,0.11381569106353968,0.84,10.110922782909135,421,6.627102591624596e-10,480,120,200,55,expanded_tau_x_delta,resnet18,cat_dog,3,5,2
20270903,ERM-tuned,0.0001,0.0,1.0,0.3641083958274122,0.367833424889011,0.11782702378989121,0.825,6.488155385578083,681,7.031703073424802e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,2
20270903,ERM-calibrated,0.0003,0.0,1.622286771834337,0.35696236109073104,0.3600849036250379,0.11480489884362242,0.84,8.7823025737229,401,6.099487462393317e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,2
20270903,Matched,0.025430806348152438,0.0,1.8591409142295228,0.6039699861232075,0.6081699009659763,0.20807375207113346,0.815,0.08638606252437343,61,2.1783135236094786e-13,480,120,200,0,analytic,resnet18,cat_dog,3,5,2
20270904,SW-tuned,0.0001,0.0,1.0,0.41118399203162814,0.36572935108328347,0.11692393132548468,0.835,6.163148642547105,681,6.750394943341271e-10,480,120,200,55,expanded_tau_x_delta,resnet18,cat_dog,3,5,3
20270904,ERM-tuned,0.0001,0.0,1.0,0.41118399203162814,0.36572935108328347,0.11692393132548468,0.835,6.163148642547105,681,6.750394943341271e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,3
20270904,ERM-calibrated,0.0001,0.0,1.060314604749162,0.41077426288445135,0.36299383451904205,0.11642766467740007,0.835,6.9290250111360425,681,6.750394943341271e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,3
20270904,Matched,0.025430806348152438,0.0,1.8591409142295228,0.6189986144652657,0.6055911249473511,0.20684417698971105,0.8,0.09412644829834242,61,2.2736683265903847e-13,480,120,200,0,analytic,resnet18,cat_dog,3,5,3
20270905,SW-tuned,0.0001,1.0,1.0,0.3382112068210541,0.399735014248106,0.12708837091866282,0.82,11.240136540224913,701,6.612730402979934e-10,480,120,200,55,expanded_tau_x_delta,resnet18,cat_dog,3,5,4
20270905,ERM-tuned,3e-05,0.0,1.0,0.34406488470214686,0.4283339230312631,0.1361435295981168,0.8,12.929090815432316,1201,8.682072920312362e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,4
20270905,ERM-calibrated,0.0001,0.0,1.2379744464791158,0.3399774296951982,0.39431810643532134,0.12591282167562465,0.815,9.913071846594242,681,6.867223677297269e-10,480,120,200,11,expanded_tau,resnet18,cat_dog,3,5,4
20270905,Matched,0.025430806348152438,0.0,1.8591409142295228,0.6047515861546486,0.6083428665870814,0.2081688566544758,0.81,0.08774745560401405,61,2.2916846908593216e-13,480,120,200,0,analytic,resnet18,cat_dog,3,5,4
20270901,SW-tuned,0.0001,2.0,1.0,0.13620712832402487,0.18550944464828803,0.05078995484319611,0.935,30.195492919723904,741,8.277682134505155e-10,480,120,200,55,expanded_tau_x_delta,resnet18,car_truck,1,9,0
20270901,ERM-tuned,3e-05,0.0,1.0,0.14727079961612352,0.19008327490956325,0.05318315798851681,0.93,23.04884592166184,1281,9.086601867079276e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,0
20270901,ERM-calibrated,0.0001,0.0,1.52451654117552,0.14317454784595493,0.18450440008749233,0.05030721489445853,0.93,29.10385025486587,721,7.426786900514023e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,0
20270901,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5285165289535361,0.536378862093161,0.17342721021500132,0.925,0.20429242228169966,61,6.926124334850196e-13,480,120,200,0,analytic,resnet18,car_truck,1,9,0
20270902,SW-tuned,0.0003,2.0,1.0,0.13229012638076515,0.17187678662227568,0.045342357570977966,0.94,17.45672981702971,441,6.358951703766661e-10,480,120,200,55,expanded_tau_x_delta,resnet18,car_truck,1,9,1
20270902,ERM-tuned,3e-05,0.0,1.0,0.14134982835179874,0.16844253257705397,0.044546047944496854,0.945,22.848895504651495,1281,8.39402670251058e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,1
20270902,ERM-calibrated,0.0003,0.0,2.2325654657725993,0.12428543960283155,0.16997291570135517,0.04357434523522711,0.945,32.87254486531798,421,6.935464873682337e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,1
20270902,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5279642006990679,0.5361573822397675,0.17333042961537248,0.925,0.20547722085021183,61,7.505708373934031e-13,480,120,200,0,analytic,resnet18,car_truck,1,9,1
20270903,SW-tuned,0.0001,2.0,1.0,0.11964503138859627,0.16584039058492497,0.0444194481109189,0.945,29.393632535655627,741,8.691104836798044e-10,480,120,200,55,expanded_tau_x_delta,resnet18,car_truck,1,9,2
20270903,ERM-tuned,1e-05,0.0,1.0,0.1302125303218684,0.17109254597220272,0.04786936542852503,0.93,36.164869373900366,2201,9.565129784695257e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,2
20270903,ERM-calibrated,0.0001,0.0,1.811590869743589,0.11783496854265804,0.16707230086098743,0.04373593939230412,0.945,39.57034358250094,721,6.734718202690508e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,2
20270903,Matched,0.025430806348152438,0.0,1.8591409142295228,0.534408224080989,0.5337579325345486,0.1722031040431551,0.92,0.21145647898754633,61,7.376528584300015e-13,480,120,200,0,analytic,resnet18,car_truck,1,9,2
20270904,SW-tuned,0.0003,2.0,1.0,0.14465061463709325,0.17303204626950758,0.04701415050028665,0.945,17.799381443383137,441,6.300935693219016e-10,480,120,200,55,expanded_tau_x_delta,resnet18,car_truck,1,9,3
20270904,ERM-tuned,3e-05,0.0,1.0,0.1502680400670847,0.17843577064911184,0.04979138548418895,0.935,23.534681791086285,1281,9.021871717392458e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,3
20270904,ERM-calibrated,0.0003,0.0,1.9828875417307452,0.13956966183869554,0.16974507669723501,0.04600598788091912,0.945,26.31926161820757,421,7.14584415290339e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,3
20270904,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5239630770581326,0.5361622149298433,0.17329192165164856,0.92,0.20168892487308926,61,6.551199951487181e-13,480,120,200,0,analytic,resnet18,car_truck,1,9,3
20270905,SW-tuned,0.0001,2.0,1.0,0.13235000859651275,0.16966187978541547,0.04632982737943992,0.93,29.277536436315387,741,8.756343324984941e-10,480,120,200,55,expanded_tau_x_delta,resnet18,car_truck,1,9,4
20270905,ERM-tuned,1e-05,0.0,1.0,0.13624997950514334,0.17810169501471124,0.05007226823078437,0.93,36.143968938214265,2181,8.89804535731942e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,4
20270905,ERM-calibrated,1e-05,0.0,1.0108978666955108,0.13623976280302377,0.1785118328415275,0.05013215321683612,0.93,36.936045833086204,2181,8.89804535731942e-10,480,120,200,11,expanded_tau,resnet18,car_truck,1,9,4
20270905,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5399963126438438,0.5324169678996129,0.17158500312953745,0.92,0.2153550294348596,61,7.423467836151954e-13,480,120,200,0,analytic,resnet18,car_truck,1,9,4
20270901,SW-tuned,0.0003,2.0,1.0,0.1872261752347176,0.1771134799923228,0.05389169097494559,0.92,20.26557301311902,421,7.32873611881215e-10,480,120,200,55,expanded_tau_x_delta,resnet18,plane_ship,0,8,0
20270901,ERM-tuned,0.0001,0.0,1.0,0.20154506229672015,0.18363570009886956,0.05361874772424493,0.915,14.382497977099577,701,5.711827807077171e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,0
20270901,ERM-calibrated,0.0003,0.0,2.0556757423754304,0.1836828766161707,0.17059863716005816,0.053003714041792875,0.925,32.144848517352955,401,7.680588568794202e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,0
20270901,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5319052072852325,0.5214288062554364,0.16702798272154568,0.88,0.2847671479753534,61,2.569787681791483e-13,480,120,200,0,analytic,resnet18,plane_ship,0,8,0
20270902,SW-tuned,0.0003,2.0,1.0,0.15664163363538317,0.16824424134612725,0.05030027208459931,0.92,20.13582192849441,421,8.641024201593235e-10,480,120,200,55,expanded_tau_x_delta,resnet18,plane_ship,0,8,1
20270902,ERM-tuned,3e-05,0.0,1.0,0.1620943862064406,0.1629273036078465,0.050051278860725364,0.93,26.854974716138884,1241,8.731457858449485e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,1
20270902,ERM-calibrated,0.003,0.0,5.910147374555789,0.14541254098414194,0.20515605862777314,0.06251235033146735,0.915,44.68966480730559,141,1.1886102535936953e-10,480,120,200,11,expanded_tau,resnet18,plane_ship,0,8,1
20270902,Matched,0.025430806348152438,0.0,1.8591409142295228,0.5162182898721394,0.5226801660413496,0.16752469928084865,0.89,0.27404545472083575,61,2.760950749596325e-13,480,120,200,0,analytic,resnet18,plane_ship,0,8,1
