model,pair,method,n_splits,mean_test_log_loss,sd_test_log_loss,ci95_low,ci95_high
resnet18,cat_dog,SW-tuned,5,0.37955086278410116,0.017817091465452305,0.3639334935342927,0.3951682320339096
resnet18,cat_dog,ERM-tuned,5,0.3887279871769592,0.025276636807962004,0.3665720381440501,0.41088393620986835
resnet18,cat_dog,ERM-calibrated,5,0.37750952625660344,0.01636124781069245,0.3631682602344437,0.3918507922787632
resnet18,cat_dog,Matched,5,0.608360552989249,0.001856750413212955,0.6067330394939006,0.6099880664845974
resnet18,cat_dog,ERM-tuned-minus-SW-tuned,5,0.009177124392858116,0.011733850996306031,-0.0011080494856547003,0.019462298271370932
resnet18,cat_dog,ERM-calibrated-minus-SW-tuned,5,-0.002041336527497717,0.003472272297885617,-0.005084917390126679,0.0010022443351312455
resnet18,cat_dog,Matched-minus-SW-tuned,5,0.22880969020514783,0.016817167686715016,0.21406879279163682,0.24355058761865883
resnet18,car_truck,SW-tuned,5,0.17318410958208236,0.00741590204419271,0.1666837848366469,0.17968443432751782
resnet18,car_truck,ERM-tuned,5,0.1772311638245286,0.008401016751530219,0.16986734796620648,0.18459497968285074
resnet18,car_truck,ERM-calibrated,5,0.1739613052377195,0.007297368806397532,0.16756487945618687,0.18035773101925212
resnet18,car_truck,Matched,5,0.5349746719393866,0.001789072156952243,0.5334064810512245,0.5365428628275488
resnet18,car_truck,ERM-tuned-minus-SW-tuned,5,0.004047054242446257,0.004439499926429223,0.0001556609827786425,0.007938447502113873
resnet18,car_truck,ERM-calibrated-minus-SW-tuned,5,0.0007771956556371417,0.0048025543882840626,-0.0034324288708773468,0.00498682018215163
resnet18,car_truck,Matched-minus-SW-tuned,5,0.36179056235730433,0.0064369326107761565,0.3561483421546663,0.3674327825599424
resnet18,plane_ship,SW-tuned,5,0.1746001519453382,0.006193545724402695,0.1691712697548233,0.1800290341358531
resnet18,plane_ship,ERM-tuned,5,0.1758455806854162,0.012325599231133603,0.1650417166096765,0.18664944476115589
resnet18,plane_ship,ERM-calibrated,5,0.1824015329366121,0.013800340692851345,0.17030500097507822,0.19449806489814597
resnet18,plane_ship,Matched,5,0.5224447129790919,0.0012808719545778864,0.5213219792088155,0.5235674467493683
resnet18,plane_ship,ERM-tuned-minus-SW-tuned,5,0.0012454287400780195,0.00641512400758856,-0.004377675379025068,0.0068685328591811074
resnet18,plane_ship,ERM-calibrated-minus-SW-tuned,5,0.007801380991273926,0.016873646928817373,-0.006989022660703224,0.022591784643251074
resnet18,plane_ship,Matched-minus-SW-tuned,5,0.3478445610337537,0.00687596826543546,0.3418175091123169,0.35387161295519054
vit_b_16,cat_dog,SW-tuned,5,0.21702111597598184,0.008882828228022346,0.20923497373785954,0.22480725821410413
vit_b_16,cat_dog,ERM-tuned,5,0.21697695515090548,0.006229382295320634,0.2115166608209986,0.22243724948081237
vit_b_16,cat_dog,ERM-calibrated,5,0.22391628054535015,0.010648397528245064,0.21458254858130824,0.23325001250939206
vit_b_16,cat_dog,Matched,5,0.3777558918563074,0.0010072931514214973,0.3768729604800468,0.37863882323256803
vit_b_16,cat_dog,ERM-tuned-minus-SW-tuned,5,-4.416082507635588e-05,0.002978592615709091,-0.0026550123669500944,0.0025666907167973827
vit_b_16,cat_dog,ERM-calibrated-minus-SW-tuned,5,0.006895164569368334,0.006230864767265622,0.001433570795508314,0.012356758343228354
vit_b_16,cat_dog,Matched-minus-SW-tuned,5,0.1607347758803256,0.00840811782232137,0.15336473565901865,0.16810481610163253
vit_b_16,car_truck,SW-tuned,5,0.08184932864872668,0.008935477251534244,0.07401703750675993,0.08968161979069343
vit_b_16,car_truck,ERM-tuned,5,0.07592561209793577,0.00588548648671497,0.07076675573487495,0.0810844684609966
vit_b_16,car_truck,ERM-calibrated,5,0.15215362404608354,0.1553031742468332,0.01602438978901738,0.2882828583031497
vit_b_16,car_truck,Matched,5,0.24863342735774455,0.0014306078162279762,0.24737944431786307,0.24988741039762602
vit_b_16,car_truck,ERM-tuned-minus-SW-tuned,5,-0.005923716550790903,0.007564209038104963,-0.012554038108037534,0.0007066050064557265
vit_b_16,car_truck,ERM-calibrated-minus-SW-tuned,5,0.07030429539735686,0.14714228789205555,-0.05867160657450346,0.19928019736921718
vit_b_16,car_truck,Matched-minus-SW-tuned,5,0.16678409870901784,0.008553055359175353,0.15928701513523133,0.17428118228280434
vit_b_16,plane_ship,SW-tuned,5,0.0772644204307529,0.005727357140517413,0.07224417055088753,0.08228467031061829
vit_b_16,plane_ship,ERM-tuned,5,0.07952939515986245,0.006329299365966574,0.0739815196560214,0.08507727066370349
vit_b_16,plane_ship,ERM-calibrated,5,0.1396351689568694,0.13524495836066527,0.021087736117507583,0.2581826017962312
vit_b_16,plane_ship,Matched,5,0.2691463681145958,0.0008506675808476783,0.26840072510407975,0.26989201112511185
vit_b_16,plane_ship,ERM-tuned-minus-SW-tuned,5,0.002264974729109537,0.002772529850135661,-0.00016525483499431467,0.004695204293213389
vit_b_16,plane_ship,ERM-calibrated-minus-SW-tuned,5,0.06237074852611647,0.13830771933429456,-0.0588613126737058,0.18360280972593873
vit_b_16,plane_ship,Matched-minus-SW-tuned,5,0.19188194768384287,0.006016813555371498,0.18660797806968374,0.197155917298002
